"Consumer Key","客户键值"
"Consumer Secret","客户密钥"
"Since Twitter doesn't support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href=""%s"">Edit Account Information</a>.","由于Twitter不支持第三方访问您的邮箱地址，我们不能给你发送店铺帐户证书。要想使用店铺帐户证书登录，您需要使用“<a href=""%s"">编辑帐户信息</a>”来更新您的邮件地址和密码。"
"Sorry, could not retrieve your Twitter last name. Please try again.","非常抱歉，不能找到您的Twitter名字。请重试。"
"Twitter #: %s","推特ID：%s"
"Twitter Connect","Twitter连接"
"Twitter Connect process aborted.","Twitter连接过程中止。"
"Twitter Options","推特"
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","我们发现您在我们店铺里已有了一个帐户。您的Twitter帐户现在已连接到了您的店铺帐户。"
"You can connect store account with your Twitter account so you could login easier in the future.","您可以将店铺帐户与您的Twitter帐户连接起来，这样您以后就更容易登录。"
"You can login using your <strong>Twitter</strong> credentials.","您可以使用您的<strong>Twitter</strong>帐户登陆。"
"You have successfully disconnected your Twitter account from our store account.","您已经成功地将您Twitter帐户与我们的店铺帐户断开了。"
"You have successfully logged in using your Twitter account.","您已经使用您的Twitter帐户成功登录了。"
"Your Twitter account is already connected to one of our store accounts.","您的Twitter帐户已经连接到我们的店铺帐户了。"
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.",""您的Google帐户已经连接到我们店铺里您的新用户帐户了。您现在可以使用Google登录按钮来登录。"
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","您的Twitter帐户已经连接到您的店铺帐户了。您现在可以使用Twitter登录按钮或您邮件将收到的店铺帐户证书来登录。"
