"<a onclick=""history.go(-1);"" href=""#"">Go back</a> to the previous page.","<a onclick=""history.go(-1);"" href=""#"">返回</a>前一页。"
"Add New Medias","添加新媒体"
"Attribute 'target' of tag '<a>'. Blank means Link Url always opens in current window.","<a>标签的target属性。为空时“链接网址”总在当前窗口打开。"
"Custom CMS Home Page","自定义CMS首页"
"Custom CMS No Route Page","自定义CMS无路由页面"
"Delete Media","删除媒体"
"Edit Media","编辑媒体"
"Edit Media '%s'","编辑媒体“%s”"
"Error","出错啦！"
"File is required field.","文件是必填的。"
"Follow these links to get you back on track!<br /><a href=""%s"">Store Home</a><br /><a href=""%s"">My Account</a>","跟随这些链接回到正确的轨道上来！<br /><a href=""%s"">店铺首页</a><br /><a href=""%s"">我的帐户</a>"
"Have no fear, help is near! There are many ways you can get back on track with this website.","不要害怕，帮助就在附近。您可以有许多方法回到正确的轨道上来。"
"Homepage Landing","首页广告"
"Html5 Audio","Html5音频"
"Html5 Video","Html5视频"
"If you clicked on a link to get here, the link is outdated.","如果你是点击了一个链接到这里的，那么链接已经过时。"
"If you typed the URL directly, please make sure the spelling is correct.","如果您是直接输入网址的，请确保拼写正确。"
"Link Url","链接网址"
"Link Target","链接目标"
"Medias","媒体"
"Media Information","媒体信息"
"New Media","新建媒体"
"Save Media","保存媒体"
"Skins (Images / CSS)","皮肤（图片/CSS）"
"Skins is required field.","皮肤（图片/CSS）是必填的。"
"Stores is required field.","店铺视图是必填的。"
"The page you requested was not found, and we have a fine guess why.","您请求的页面没有找到，让我们来猜猜为什么。"
"The media has been deleted.","媒体已删除。"
"The media has been saved.","媒体已保存。"
"This media no longer exists.","媒体不存在。"
"Title is required field.","标题是必填的。"
"Total of %d media(s) were successfully changed status.","已成功更改%d个媒体的状态。"
"Total of %d media(s) were successfully deleted.","已成功删除%d个媒体。"
"Unable to find a media to delete.","找不到需删除的媒体。"
"Use the search bar at the top of the page to search for your products.","使用页面顶部的搜索栏搜索商品。"
"What can you do?","您能做什么？"
