"Account Navigation","帐户导航"
"Display","显示"
"Hide Static Block Links","隐藏静态块链接"
"Hide ""Account Dashboard"" Link","隐藏“帐户显示板”链接"
"Hide ""Account Information"" Link","隐藏“帐户信息”链接"
"Hide ""Address Book"" Link","隐藏“地址薄”链接"
"Hide ""Advanced Search"" Link","隐藏“高级搜索”链接"
"Hide ""Billing Agreements"" Link","隐藏“记账协议”链接"
"Hide ""Checkout"" Link","隐藏“结帐”链接"
"Hide ""Contact Us"" Link","隐藏“联系我们”链接"
"Hide ""Login / Logout"" Link","隐藏“登陆／注销”链接"
"Hide ""My Account"" Link","隐藏“我的帐户”链接"
"Hide ""My Cart"" Link","隐藏“我的购物车”链接"
"Hide ""My Downloadable Products"" Link","隐藏“我的可下载产品”链接"
"Hide ""Newsletter Subscriptions"" Link","隐藏“新闻邮件订阅”链接"
"Hide ""My Orders"" Link","隐藏“我的订单”链接"
"Hide ""My Product Reviews"" Link","隐藏“我的产品评价”链接"
"Hide ""My Tags"" Link","隐藏“我的标签”链接"
"Hide ""My Wishlist"" Link","隐藏“我的收藏”链接"
"Hide ""Recurring Profiles"" Link","隐藏“递归配置文件”链接"
"Hide ""Search Terms"" Link","隐藏“搜索词”链接"
"Hide ""Sitemap"" Link","隐藏“站点地图”链接"
"Home","首页"
"Homepage Link","首页链接"
"If Label is left empty, ""Home"" label will be used.","如果标签为空，将使用“首页”。"
"Label","标签"
"This includes the footer links defined in static block with identifier = footer_links.<br /> Ref: About Us & Customer Service","包括在静态块中用identifier = footer_links定义的脚注链接。<br />例如：“联系我们”和“客户服务”"
