"Enable","启用"
"Maximum Order Amount","最高订单金额"
"Message to be displayed to customer when ""Single Order Top Amount"" condition limit is triggered. Defaults to ""No single order allowed with amount over %s."". Please use ""%s"" to position the amount value within the message string.","当“单笔订单最高金额”超过时，显示给用户的消息。默认是“单笔订单金额不允许超过%s”。请使用“%s”来代替消息中的金额值。"
"No single order can be placed over X amount, where X is an integer value which defaults to 1500.","单笔订单金额不能超过X，X是一个默认值为1500的整数值。"
"Notification TO emails","通知邮件接收地址"
"Send notification email to ""Notification TO emails"" when order reaches amount of AMOUNT >= X. Where X is a integer value like 600. Default value for this field is 600.","当订单金额不低于X时，发送通知邮件给“通知邮件接收地址”。这里的X是一个如600的整数值，默认值为600。"
"Single Order Maximum Amount Message","单笔订单最高金额消息"
"Single Order Maximum Amount","单笔订单最高金额"
"Single or multiple emails in a following form ""Firstname Lastname &lt;email&gt;"", like ""Branko Ajzele &lt;ajzele@gmail.net&gt;"", without quotation marks. In case of multiple entries, each entry goes on separate line.","单个或多个“姓名&lt;邮件地址&gt;”格式的邮件地址，如“Branko Ajzele &lt;ajzele@gmail.net&gt;”，不包括引号。在多个邮件地址的情况下，一个邮件地址占一行。"
"Order Amount Notification","订单金额通知"
"Order Amount Notification Email Template","订单金额通知邮件模板"
"Order Max Amount Notification","订单最高金额通知"
